Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771611573	1	878	12168	0	254976	6593	0	54	0	232	2	3364	5	0	3	4	32
1771611575	3	878	12168	0	254976	6593	0	54	0	22635	69	30720	58	0	33	4	32
1771611577	5	878	12168	0	254976	6593	0	54	0	22781	71	30880	60	0	64	4	32
1771611579	7	878	12168	0	254976	6593	0	54	0	22867	72	30978	61	0	95	4	32
1771611581	9	878	12168	0	254976	6593	0	54	0	23013	74	31138	63	0	126	4	32
1771611583	11	878	12168	0	254976	6593	0	54	0	29429	89	36924	72	0	156	4	32
1771611585	13	878	12168	0	254976	6593	0	54	0	31062	95	40320	80	0	187	4	32
1771611587	15	878	12168	0	254976	6593	0	54	0	31303	98	40591	83	0	217	4	32
1771611589	17	878	12168	0	254976	6593	0	54	0	31491	100	44050	88	0	247	4	32
1771611591	19	878	12168	0	254976	6593	0	54	0	33011	111	48423	96	0	278	4	32
1771611593	21	878	12168	0	254976	6593	0	54	0	33268	114	48732	99	0	308	4	32
1771611595	23	878	12168	0	254976	6593	0	54	0	33651	118	49179	103	0	339	4	32
1771611597	24	878	12168	0	254976	6593	0	54	0	34015	122	49597	107	0	367	4	32
1771611599	26	878	12168	0	254976	6593	0	54	0	34312	125	49946	110	0	398	4	32
1771611601	29	878	12168	0	254976	6593	0	54	0	34536	128	50212	113	0	429	4	32
1771611603	31	878	12168	0	254976	6593	0	54	0	35132	134	50951	118	0	460	4	32
1771611605	33	878	12168	0	254976	6593	0	54	0	36387	144	55201	130	0	489	4	32
1771611607	35	878	12168	0	254976	6593	0	54	0	43003	161	61633	144	0	520	4	32
1771611609	37	878	12168	0	254976	6593	0	54	0	43410	165	62288	150	0	551	4	32
1771611611	39	878	12168	0	254976	6593	0	54	0	43721	167	62500	152	0	582	4	32
1771611613	41	878	12168	0	254976	6593	0	54	0	44045	171	62878	156	0	613	4	32
1771611615	43	878	12168	0	254976	6593	0	54	0	44611	178	64858	164	0	643	4	32
1771611617	45	878	12168	0	254976	6593	0	54	0	71436	264	104476	252	0	671	4	32
1771611619	47	878	12168	0	254976	6593	0	54	0	354604	590	150110	434	0	700	4	32
1771611621	49	878	12168	0	254976	6593	0	54	0	464144	780	186435	559	0	728	4	32
1771611623	51	878	12168	0	254976	6593	0	54	0	467014	801	190866	577	0	758	4	32
1771611625	53	878	12168	0	254976	6593	0	54	0	3177256	2927	221387	699	0	788	4	32
1771611627	55	878	12168	0	254976	6593	0	54	0	3209875	2961	225972	714	0	817	4	32
1771611629	57	878	12168	0	254976	6593	0	54	0	3235861	2992	233819	730	0	847	4	32
1771611631	59	878	12168	0	254976	6593	0	54	0	3237984	3011	238676	747	0	876	4	32
1771611633	61	878	12168	0	254976	6593	0	54	0	4418711	3935	253770	804	0	906	4	32
1771611635	63	878	12168	0	254976	6593	0	54	0	4419758	3942	257573	812	0	936	4	32
1771611637	65	878	12168	0	254976	6593	0	54	0	4426526	3961	264101	828	0	966	4	32
1771611639	66	878	12168	0	254976	6593	0	54	0	5597761	4878	276988	884	0	994	4	32
1771611641	69	878	12168	0	254976	6593	0	54	0	5597847	4879	277086	885	0	1024	4	32
1771611643	71	878	12168	0	254976	6593	0	54	0	6818220	5825	285566	934	0	1055	4	32
1771611645	73	878	12168	0	254976	6593	0	54	0	6818392	5827	285762	936	0	1086	4	32
1771611647	75	878	12168	0	254976	6593	0	54	0	6818921	5834	286490	944	0	1116	4	32
1771611649	77	878	12168	0	254976	6593	0	54	0	7900741	6700	306906	1022	0	1147	4	32
1771611651	79	878	12168	0	254976	6593	0	54	0	7903582	6717	312148	1039	0	1177	4	32
1771611653	81	878	12168	0	254976	6593	0	54	0	8727498	7362	321454	1077	0	1208	4	32
1771611655	83	878	12168	0	254976	6593	0	54	0	9034794	7605	329951	1095	0	1239	4	32
1771611657	85	878	12168	0	254976	6593	0	54	0	9464220	7958	339829	1131	0	1267	4	32
1771611659	87	878	12168	0	254976	6593	0	54	0	9474425	8016	351266	1190	0	1296	4	32
1771611661	89	878	12168	0	254976	6593	0	54	0	9481271	8036	355748	1204	0	1327	4	32
1771611663	91	878	12168	0	254976	6593	0	54	0	9529462	8082	357813	1224	0	1356	4	32
1771611665	93	878	12168	0	254976	6593	0	54	0	10800613	9069	370026	1280	0	1386	4	32
1771611667	95	878	12168	0	254976	6593	0	54	0	10807525	9086	376025	1291	0	1417	4	32
1771611669	97	878	12168	0	254976	6593	0	54	0	11677679	9762	382832	1325	0	1447	4	32
1771611671	98	878	12168	0	254976	6593	0	54	0	11677943	9765	383375	1329	0	1474	4	32
1771611673	101	878	12168	0	254976	6593	0	54	0	11678313	9768	383649	1332	0	1504	4	32
1771611675	103	878	12168	0	254976	6593	0	54	0	11678485	9770	383845	1334	0	1535	4	32
1771611677	105	878	12168	0	254976	6593	0	54	0	13076284	10860	396638	1395	0	1566	4	32
1771611679	107	878	12168	0	254976	6593	0	54	0	13076620	10863	397238	1400	0	1597	4	32
1771611681	109	878	12168	0	254976	6593	0	54	0	13077463	10871	401153	1410	0	1628	4	32
1771611683	111	878	12168	0	254976	6593	0	54	0	14203379	11751	409612	1458	0	1659	4	32
1771611685	113	878	12168	0	254976	6593	0	54	0	14203551	11753	409808	1460	0	1690	4	32
1771611687	115	878	12168	0	254976	6593	0	54	0	14203887	11757	410301	1465	0	1721	4	32
1771611689	117	878	12168	0	254976	6593	0	54	0	15443161	12720	419442	1516	0	1753	4	32
1771611691	119	878	12168	0	254976	6593	0	54	0	15444050	12729	424796	1526	0	1784	4	32
1771611693	121	878	12168	0	254976	6593	0	54	0	15450581	12752	435566	1553	1	1814	4	32
1771611695	123	878	12168	0	254976	6593	0	54	0	16611972	13704	457322	1666	1	1844	4	32
1771611697	125	878	12168	0	254976	6593	0	54	0	16639356	13790	476089	1737	1	1874	4	32
1771611699	127	878	12168	0	254976	6593	0	54	0	16666420	13826	481287	1758	1	1904	4	32
1771611701	129	878	12168	0	254976	6593	0	54	0	17712791	14642	490164	1811	1	1935	4	32
1771611703	130	878	12168	0	254976	6593	0	54	0	17720564	14659	500120	1822	1	1963	4	32
1771611705	132	878	12168	0	254976	6593	0	54	0	17720650	14660	500218	1823	1	1995	4	32
1771611707	135	878	12168	0	254976	6593	0	54	0	18643546	15380	507529	1862	1	2026	4	32
1771611709	137	878	12168	0	254976	6593	0	54	0	18645223	15384	516096	1871	1	2057	4	32
1771611711	139	878	12168	0	254976	6593	0	54	0	19671449	16187	530558	1921	1	2088	4	32
1771611713	141	878	12168	0	254976	6593	0	54	0	19671820	16190	530832	1924	1	2120	4	32
1771611715	143	878	12168	0	254976	6593	0	54	0	20670642	16970	543516	1963	1	2151	4	32
1771611717	145	878	12168	0	254976	6593	0	54	0	20670788	16972	543676	1965	1	2183	4	32
1771611719	147	878	12168	0	254976	6593	0	54	0	21542042	17648	550377	1998	1	2214	4	32
1771611721	149	878	12168	0	254976	6593	0	54	0	21542128	17649	550475	1999	1	2246	4	32
1771611723	151	878	12168	0	254976	6593	0	54	0	22713420	18562	559005	2048	1	2277	4	32
1771611725	153	878	12168	0	254976	6593	0	54	0	22713592	18564	562059	2053	1	2308	4	32
1771611727	155	878	12168	0	254976	6593	0	54	0	23735206	19399	596937	2157	1	2337	4	32
1771611729	157	878	12168	0	254976	6593	0	54	0	23742102	19417	602140	2167	1	2368	4	32
1771611731	159	878	12168	0	254976	6593	0	54	0	23744190	19436	604314	2186	1	2398	4	32
1771611733	161	878	12168	0	254976	6593	0	54	0	24544583	20111	631315	2286	1	2429	4	32
1771611735	163	878	12168	0	254976	6593	0	54	0	24544880	20114	631762	2290	1	2459	4	32
1771611737	164	878	12168	0	254976	6593	0	54	0	24553259	20140	647635	2314	1	2487	4	32
1771611739	167	878	12168	0	254976	6593	0	54	0	25359195	20837	664420	2421	1	2518	4	32
1771611741	169	878	12168	0	254976	6593	0	54	0	25381905	20899	686516	2471	1	2549	4	32
1771611743	171	878	12168	0	254976	6593	0	54	0	25482144	21036	715718	2550	1	2578	4	32
1771611745	173	878	12168	0	254976	6593	0	54	0	25482850	21042	717696	2557	1	2607	4	32
1771611747	175	878	12168	0	254976	6593	0	54	0	25949746	21409	723397	2581	1	2636	4	32
1771611749	177	878	12168	0	254976	6593	0	54	0	25976270	21490	761424	2661	1	2665	4	32
1771611751	179	878	12168	0	254976	6593	0	54	0	25994625	21532	771067	2693	1	2695	4	32
1771611753	181	878	12168	0	254976	6593	0	54	0	26520476	21952	781389	2733	1	2725	4	32
1771611755	183	878	12168	0	254976	6593	0	54	0	26522995	21968	786468	2749	1	2755	4	32
1771611757	185	878	12168	0	254976	6593	0	54	0	26760227	22159	794349	2766	1	2785	4	32
1771611759	187	878	12168	0	254976	6593	0	54	0	26970844	22418	849852	2895	1	2815	4	32
1771611761	189	878	12168	0	254976	6593	0	54	0	27527995	22868	861739	2938	1	2844	4	32
1771611763	191	878	12168	0	254976	6593	0	54	0	27529959	22883	868945	2954	1	2874	4	32
1771611765	193	878	12168	0	254976	6593	0	54	0	27530131	22885	869141	2956	1	2904	4	32
1771611767	195	878	12168	0	254976	6593	0	54	0	27847996	23178	894172	3025	1	2935	4	32
1771611769	197	878	12168	0	254976	6593	0	54	0	27848949	23184	894735	3030	1	2966	4	32
1771611771	199	878	12168	0	254976	6593	0	54	0	28500083	23702	909147	3077	1	2997	4	32
1771611773	201	878	12168	0	254976	6593	0	54	0	28500939	23708	913076	3086	1	3029	4	32
1771611775	203	878	12168	0	254976	6593	0	54	0	28559541	23760	917004	3095	1	3061	4	32
1771611777	205	878	12168	0	254976	6593	0	54	0	28741192	23906	921909	3109	1	3093	4	32
