Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771614069	0	1899	23380	0	1034496	6593	0	55	0	86	1	98	1	0	10	8	128
1771614071	3	1892	23380	0	1034496	6593	0	55	0	603360	482	11162	44	0	41	8	128
1771614073	5	1892	23380	0	1034496	6593	0	55	0	603626	485	11454	47	0	72	8	128
1771614075	7	1892	23380	0	1034496	6593	0	55	0	1063511	597	474058	158	0	104	8	128
1771614077	9	1892	23380	0	1034496	6593	0	55	0	1350813	824	478481	171	0	136	8	128
1771614079	11	1892	23380	0	1034496	6593	0	55	0	1352854	841	483269	188	0	167	8	128
1771614081	13	1892	23380	0	1034496	6593	0	55	0	1353152	845	483591	192	0	194	8	128
1771614083	15	1892	23380	0	1034496	6593	0	55	0	1674456	1096	487883	204	0	226	8	128
1771614085	17	1892	23380	0	1034496	6593	0	55	0	1797981	1113	614512	223	0	256	8	128
1771614087	19	1892	23380	0	1034496	6593	0	55	0	2181293	1450	635611	293	0	288	8	128
1771614089	21	1892	23380	0	1034496	6593	0	55	0	2566567	1487	1020345	325	0	316	8	128
1771614091	23	1892	23380	0	1034496	6593	0	55	0	2574800	1517	1031141	350	0	348	8	128
1771614093	25	1892	23380	0	1034496	6593	0	55	0	2945572	1811	1040052	376	0	379	8	128
1771614095	27	1892	23380	0	1034496	6593	0	55	0	2945870	1815	1040374	380	0	408	8	128
1771614097	29	1892	23380	0	1034496	6593	0	55	0	3203313	1980	1112088	409	0	439	8	128
1771614099	31	1892	23380	0	1034496	6593	0	55	0	3206728	2010	1118590	440	0	471	8	128
1771614101	33	1892	23380	0	1034496	6593	0	55	0	3590997	2047	1505915	479	0	502	8	128
1771614103	35	1892	23380	0	1034496	6593	0	55	0	3972549	2352	1517784	511	0	534	8	128
1771614105	37	1892	23380	0	1034496	6593	0	55	0	3973631	2362	1521981	523	0	562	8	128
1771614107	39	1892	23380	0	1034496	6593	0	55	0	3973928	2365	1522330	526	0	595	8	128
1771614109	41	1892	23380	0	1034496	6593	0	55	0	4180780	2515	1564318	554	0	626	8	128
1771614111	43	1892	23380	0	1034496	6593	0	55	0	4183527	2530	1568596	572	0	657	8	128
1771614113	45	1892	23380	0	1034496	6593	0	55	0	4590032	2861	1582939	612	0	686	8	128
1771614115	47	1892	23380	0	1034496	6593	0	55	0	4599879	2900	1591123	643	0	717	8	128
1771614117	49	1892	23380	0	1034496	6593	0	55	0	4992221	3085	1986124	828	0	749	8	128
1771614119	51	1892	23380	0	1034496	6593	0	55	0	5184144	3239	1990488	842	0	781	8	128
1771614121	52	1892	23380	0	1034496	6593	0	55	0	5191094	3257	1999778	856	0	809	8	128
1771614123	55	1892	23380	0	1034496	6593	0	55	0	5251223	3268	2059909	867	0	841	8	128
1771614125	57	1892	23380	0	1034496	6593	0	55	0	5667644	3595	2065227	888	0	873	8	128
1771614127	59	1892	23380	0	1034496	6593	0	55	0	6055147	3679	2452826	972	0	905	8	128
1771614129	61	1892	23380	0	1034496	6593	0	55	0	6056416	3689	2456874	982	0	937	8	128
1771614131	63	1892	23380	0	1034496	6593	0	55	0	6305833	3901	2469542	1013	0	966	8	128
1771614133	65	1892	23380	0	1034496	6593	0	55	0	6306372	3908	2469930	1018	0	998	8	128
1771614135	67	1892	23380	0	1034496	6593	0	55	0	6306544	3910	2470126	1020	0	1030	8	128
1771614137	69	1892	23380	0	1034496	6593	0	55	0	6366176	3931	2529849	1040	0	1061	8	128
1771614139	71	1892	23380	0	1034496	6593	0	55	0	6366995	3939	2532683	1047	0	1092	8	128
1771614141	72	1892	23380	0	1034496	6593	0	55	0	6369937	3947	2536465	1058	0	1121	8	128
1771614143	75	1892	23380	0	1034496	6593	0	55	0	6369997	3948	2536527	1059	0	1152	8	128
1771614145	77	1892	23380	0	1034496	6593	0	55	0	6370353	3951	2537136	1063	0	1184	8	128
1771614147	79	1892	23380	0	1034496	6593	0	55	0	6756788	4006	2928024	1123	0	1217	8	128
1771614149	81	1892	23380	0	1034496	6593	0	55	0	6757130	4011	2928342	1127	0	1249	8	128
1771614151	83	1892	23380	0	1034496	6593	0	55	0	6763941	4030	2934710	1142	0	1278	8	128
1771614153	85	1892	23380	0	1034496	6593	0	55	0	6764127	4033	2934898	1145	0	1310	8	128
1771614155	87	1892	23380	0	1034496	6593	0	55	0	6764393	4036	2935205	1148	0	1341	8	128
1771614157	89	1892	23380	0	1034496	6593	0	55	0	6801651	4048	2972366	1160	0	1373	8	128
1771614159	91	1892	23380	0	1034496	6593	0	55	0	6801863	4051	2972612	1163	0	1401	8	128
1771614161	93	1892	23380	0	1034496	6593	0	55	0	6802232	4055	2976272	1170	0	1433	8	128
1771614163	95	1892	23380	0	1034496	6593	0	55	0	7188878	4112	3365554	1228	0	1466	8	128
1771614165	97	1892	23380	0	1034496	6593	0	55	0	7189405	4118	3366231	1235	0	1498	8	128
1771614167	99	1892	23380	0	1034496	6593	0	55	0	7189491	4119	3366329	1236	0	1526	8	128
1771614169	101	1892	23380	0	1034496	6593	0	55	0	7189763	4123	3366615	1240	0	1559	8	128
1771614171	103	1892	23380	0	1034496	6593	0	55	0	7191872	4137	3371403	1252	0	1590	8	128
1771614173	105	1892	23380	0	1034496	6593	0	55	0	7259023	4152	3438507	1266	0	1621	8	128
1771614175	106	1892	23380	0	1034496	6593	0	55	0	7259273	4155	3438809	1269	0	1650	8	128
1771614177	109	1892	23380	0	1034496	6593	0	55	0	7645594	4210	3828167	1327	0	1682	8	128
1771614179	111	1892	23380	0	1034496	6593	0	55	0	7646070	4215	3828579	1332	0	1714	8	128
1771614181	113	1892	23380	0	1034496	6593	0	55	0	7646314	4218	3832915	1339	0	1746	8	128
1771614183	115	1892	23380	0	1034496	6593	0	55	0	7653876	4241	3841568	1362	0	1778	8	128
1771614185	117	1892	23380	0	1034496	6593	0	55	0	7659241	4259	3846325	1382	0	1807	8	128
1771614187	119	1892	23380	0	1034496	6593	0	55	0	7746375	4278	3933348	1400	0	1838	8	128
1771614189	121	1892	23380	0	1034496	6593	0	55	0	7746521	4280	3933834	1403	0	1870	8	128
1771614191	123	1892	23380	0	1034496	6593	0	55	0	8077967	4326	4265184	1448	0	1902	8	128
1771614193	125	1892	23380	0	1034496	6593	0	55	0	8133603	4345	4324040	1470	0	1931	8	128
1771614195	127	1892	23380	0	1034496	6593	0	55	0	8133749	4347	4324200	1472	0	1963	8	128
1771614197	129	1892	23380	0	1034496	6593	0	55	0	8134047	4351	4324522	1476	0	1995	8	128
1771614199	131	1892	23380	0	1034496	6593	0	55	0	8134572	4356	4324951	1481	0	2026	8	128
1771614201	133	1892	23380	0	1034496	6593	0	55	0	8193491	4367	4383922	1492	0	2057	8	128
1771614203	135	1892	23380	0	1034496	6593	0	55	0	8193491	4367	4384008	1493	0	2086	8	128
1771614205	137	1892	23380	0	1034496	6593	0	55	0	8196144	4392	4386715	1518	0	2118	8	128
1771614207	139	1892	23380	0	1034496	6593	0	55	0	8581172	4428	4774740	1557	0	2150	8	128
1771614209	141	1908	23380	0	1034496	6593	0	55	0	8581404	4431	4774998	1560	0	2183	8	128
1771614211	142	1908	23380	0	1034496	6593	0	55	0	8583645	4445	4779843	1572	0	2211	8	128
1771614213	145	1908	23380	0	1034496	6593	0	55	0	8590325	4463	4786222	1587	0	2243	8	128
1771614215	147	1908	23380	0	1034496	6593	0	55	0	8590557	4466	4786480	1590	0	2275	8	128
1771614217	149	1908	23380	0	1034496	6593	0	55	0	8752429	4486	4948825	1612	0	2306	8	128
1771614219	151	1908	23380	0	1034496	6593	0	55	0	8752799	4489	4949099	1615	0	2335	8	128
1771614221	153	1908	23380	0	1034496	6593	0	55	0	9195904	4576	5392437	1703	0	2366	8	128
1771614223	155	1908	23380	0	1034496	6593	0	55	0	9197428	4585	5399735	1717	0	2398	8	128
1771614225	157	1908	23380	0	1034496	6593	0	55	0	9204505	4606	5406882	1735	0	2430	8	128
1771614227	159	1908	23380	0	1034496	6593	0	55	0	9204717	4609	5407106	1738	0	2461	8	128
1771614229	161	1908	23380	0	1034496	6593	0	55	0	9258769	4622	5461359	1752	1	2492	8	128
1771614231	163	1908	23380	0	1034496	6593	0	55	0	9259001	4625	5461617	1755	1	2520	8	128
1771614233	165	1908	23380	0	1034496	6593	0	55	0	9261685	4650	5464377	1781	1	2552	8	128
1771614235	167	1908	23380	0	1034496	6593	0	55	0	9652450	4713	5854727	1839	1	2584	8	128
1771614237	169	1908	23380	0	1034496	6593	0	55	0	9652716	4716	5858285	1845	1	2615	8	128
1771614239	171	1908	23380	0	1034496	6593	0	55	0	9654043	4724	5859229	1853	1	2645	8	128
1771614241	173	1908	23380	0	1034496	6593	0	55	0	9654401	4729	5859613	1858	1	2677	8	128
1771614243	175	1908	23380	0	1034496	6593	0	55	0	9735170	4815	5873228	1905	1	2709	8	128
1771614245	177	1908	23380	0	1034496	6593	0	55	0	9800181	4828	5938265	1918	1	2740	8	128
1771614247	179	1908	23380	0	1034496	6593	0	55	0	9835403	4911	5952446	1998	1	2769	8	128
1771614249	181	1908	23380	0	1034496	6593	0	55	0	9835567	4913	5953026	2004	1	2801	8	128
1771614251	183	1908	23380	0	1034496	6593	0	55	0	9841060	4951	5963173	2044	1	2833	8	128
1771614253	184	1908	23380	0	1034496	6593	0	55	0	10225508	4991	6350708	2087	1	2862	8	128
1771614255	187	1908	23380	0	1034496	6593	0	55	0	10225834	4995	6351265	2093	1	2894	8	128
1771614257	189	1908	23380	0	1034496	6593	0	55	0	10227826	5011	6355815	2106	1	2926	8	128
1771614259	191	1908	23380	0	1034496	6593	0	55	0	10286186	5080	6374186	2130	1	2958	8	128
1771614261	193	1908	23380	0	1034496	6593	0	55	0	10439493	5281	6415677	2217	1	2987	8	128
1771614263	195	1908	23380	0	1034496	6593	0	55	0	10558830	5352	6483609	2245	1	3018	8	128
1771614265	197	1908	23380	0	1034496	6593	0	55	0	10559062	5355	6483867	2248	1	3050	8	128
1771614267	199	1908	23380	0	1034496	6593	0	55	0	12639394	6720	6883970	2373	1	3082	8	128
1771614269	200	1908	23380	0	1034496	6593	0	55	0	13381389	7309	6898511	2416	1	3111	8	128
1771614271	203	1908	23380	0	1034496	6593	0	55	0	13382687	7317	6899855	2424	1	3143	8	128
1771614273	205	1908	23380	0	1034496	6593	0	55	0	13389222	7334	6905736	2435	1	3174	8	128
1771614275	207	1908	23380	0	1034496	6593	0	55	0	13390340	7347	6906921	2448	1	3206	8	128
1771614277	209	1908	23380	0	1034496	6593	0	55	0	13390426	7348	6907019	2449	1	3234	8	128
1771614279	211	1908	23380	0	1034496	6593	0	55	0	15773714	9198	6998811	2591	1	3266	8	128
1771614281	213	1908	23380	0	1034496	6593	0	55	0	15775532	9214	7006485	2605	1	3297	8	128
1771614283	215	1908	23380	0	1034496	6593	0	55	0	17269685	10134	7407773	2716	1	3329	8	128
1771614285	217	1908	23380	0	1034496	6593	0	55	0	17605587	10398	7414459	2738	1	3358	8	128
1771614287	219	1908	23380	0	1034496	6593	0	55	0	17607596	10406	7422382	2747	1	3390	8	128
1771614289	221	1908	23380	0	1034496	6593	0	55	0	18664383	11252	7443023	2813	1	3422	8	128
1771614291	223	1908	23380	0	1034496	6593	0	55	0	18664701	11256	7443614	2818	1	3454	8	128
1771614293	225	1908	23380	0	1034496	6593	0	55	0	18664767	11257	7443614	2818	1	3483	8	128
1771614295	227	1908	23380	0	1034496	6593	0	55	0	18715926	11276	7496429	2839	1	3514	8	128
1771614297	229	1908	23380	0	1034496	6593	0	55	0	20043549	12308	7508949	2895	1	3545	8	128
1771614299	231	1908	23380	0	1034496	6593	0	55	0	20711080	12835	7521604	2927	1	3575	8	128
1771614301	233	1908	23380	0	1034496	6593	0	55	0	20711760	12840	7522092	2932	1	3606	8	128
1771614303	235	1908	23380	0	1034496	6593	0	55	0	21776848	13679	7539322	2991	1	3639	8	128
1771614305	237	1908	23380	0	1034496	6593	0	55	0	22091907	13945	7543468	3028	1	3668	8	128
1771614307	239	1908	23380	0	1034496	6593	0	55	0	22475396	13977	7926927	3059	1	3700	8	128
1771614309	241	1908	23380	0	1034496	6593	0	55	0	23653123	14893	7938758	3109	1	3732	8	128
1771614311	243	1908	23380	0	1034496	6593	0	55	0	23653481	14898	7939142	3114	1	3764	8	128
1771614313	245	1908	23380	0	1034496	6593	0	55	0	23653712	14901	7939424	3117	1	3793	8	128
1771614315	247	1908	23380	0	1034496	6593	0	55	0	24427531	15515	7953507	3163	1	3825	8	128
1771614317	249	1908	23380	0	1034496	6593	0	55	0	24479656	15537	8008299	3181	1	3857	8	128
1771614319	251	1908	23380	0	1034496	6593	0	55	0	24479742	15538	8008397	3182	1	3888	8	128
1771614321	253	1908	23380	0	1034496	6593	0	55	0	24483271	15570	8012141	3215	1	3917	8	128
1771614323	255	1908	23380	0	1034496	6593	0	55	0	26178496	16617	8455999	3330	1	3950	8	128
1771614325	257	1908	23380	0	1034496	6593	0	55	0	26178806	16621	8456363	3334	1	3982	8	128
1771614327	259	1908	23380	0	1034496	6593	0	55	0	27393225	17567	8468271	3383	1	4014	8	128
1771614329	261	1908	23380	0	1034496	6593	0	55	0	27393539	17571	8471846	3390	1	4042	8	128
1771614331	263	1908	23380	0	1034496	6593	0	55	0	27395557	17582	8479022	3405	1	4074	8	128
1771614333	265	1908	23380	0	1034496	6593	0	55	0	28566944	18433	8628794	3496	1	4105	8	128
1771614335	267	1908	23380	0	1034496	6593	0	55	0	28573440	18449	8634877	3508	1	4137	8	128
1771614337	269	1908	23380	0	1034496	6593	0	55	0	28573526	18450	8634975	3509	1	4166	8	128
